# golden parity table for FUZZY_HEPBURN_KUNREI: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
kasegu	
kashi	kasi
kashigeru	kasigeru
kashigu	kasigu
kashiko	kasiko
kashikoi	kasikoi
kashikomaru	kasikomaru
kashikoshi	kasikosi
kashimashii	kasimasii
kashira	kasira
kashiwa	kasiwa
kashizuku	kasizuku
kasu	
kasube	
kasugai	
kasui	
kasuka	
kasumeru	
kasumetoru	
kasumi	
kasumu	
kasureru	
kasuri	
kasuru	
kata	
kataashi	kataasi
katabuku	
katachi	katati
katachigayoi	katatigayoi
katadoru	
katae	
katagata	
katageru	
katai	
katajikenai	katazikenai
kataki	
katakoto	
kataku	
katakuna	
katakunaru	
katakutoru	
katamari	
katamaru	
katame	
katameru	
katami	
katamini	
kataminomono	
katamukeru	
katamuku	
katana	
katanosageo	
katanugu	
katarau	
kataru	
katashiro	katasiro
katatagai	
katatsumuri	katatumuri
katawara	
katayoru	
kate	
katsu	katu
katsugu	katugu
katsuo	katuo
katsuomushi	katsuomusi,katuomushi
katsura	katura
katsute	katute
katte	
kau	
kawa	
kawagoromo	
kawagutsu	kawagutu
kawahagi	
kawakasu	
kawaki	
kawaku	
kawara	
kawarage	
kawarayanagi	
kawarayomogi	
kawari	
kawaru	
kawarugawaru	
kawasemi	
kawasu	
kawauso	
kawaya	
kawazu	
kaya	
kayou	
kayowai	
kayu	
kayugaru	
kayui	
kaza	
kazari	
kazarike	
kazaru	
kazashi	kazasi
kazasu	
kaze	
kazoeru	
kazu	
kazuki	
kazunoko	
kazura	
kazutori	
ke	
keba	
kechi	keti
kedamono	
kedashi	kedasi
keganagai	
kegarawashii	kegarawasii
kegare	
kegareru	
kegasu	
kegoromo	
kei	
keigamae	
keisuru	
kekazari	
keki	
kemari	
kemisuru	
kemono	
kemudashi	kemudasi
kemui	
kemuri	
kemuru	
kemushi	kemusi
kemushiro	kemusiro
ken	
kenasu	
kenken	
kenuki	
kera	
keri	
keru	
kesa	
keshikakeru	kesikakeru
kesu	
kesuru	
keta	
ketsu	ketu
kewashii	kewasii
keyaki	
kezume	
kezuru	
kezushikeru	kezusikeru
ki	
kiba	
kibi	
kibisake	
kibishii	kibisii
kibisu	
kichi	kiti
kida	
kidetsukutsutaooyumi	kidetukututaooyumi
kieru	
kigaagarimusu	
kigire	
kihada	
kii	
kiichigo	kiitigo
kiiro	
kiiroi	
kiito	
kiji	kizi
kikanai	
kike	
kikime	
kikoeru	
kikori	
kikoru	
kiku	
kikui	
kikuimushi	kikuimusi
kikuitadaki	
kikurage	
kikusu	
kimaru	
kime	
kimeru	
kimi	
kimo	
kin	
kinchiyaku	kintiyaku
kine	
kiniiri	
kinma	
kinoe	
kinoko	
kinoto	
kinotoge	
kinu	
kinugasa	
kinunoaya	
kinuta	
kinyou	
kirai	
kirameku	
kirara	
kirau	
kire	
kireru	
kiri	
kirigirisu	
kirikabu	
kirimado	
kirimi	
